poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
B2094753DA6EA2F8419A,水郡花洲,灵寿横山岭水库正南公路,114.164257,38.586015,0311,住宅区,2,2,小区
B2094752D26AA2FB419D,河北省行唐县御城花园,,114.536093,38.436829,0311,住宅区,1,0,小区
B2094753DA6EA3F44599,阳光河谷,平山温塘镇东侧,114.001436,38.260626,0311,住宅区,0,0,小区
B2094753DA6EA3F4439D,卡纳小镇,石闫公路与温塘河口,114.00547,38.259413,0311,住宅区,0,0,小区
B2094753DA6EA2FB459F,月光溪谷,蟠龙湖区域,114.341197,37.825608,0311,住宅区,0,0,小区
B2094753DA6EA2FA4193,圣地亚水岸生活馆,蟠龙湖风景区,114.344587,37.824972,0311,住宅区,0,0,小区
B2094753DA6EA2F94298,碧水别墅,蟠龙湖度假村,114.394305,37.804935,0311,住宅区,0,0,小区
B2094753DA6EA2F84698,麓港小镇,蟠龙湖畔南岸风景区,114.341218,37.825565,0311,住宅区,0,0,小区
B2094753DA6FA2FB459E,泊岸南山,潘龙湖南岸,114.395335,37.802816,0311,住宅区,0,0,小区
B2094753DA6FA2FB469B,新景家园,翟营大街与学苑路交口,114.18035,37.723487,0311,住宅区,0,0,小区
B2094753DA6FA2FB429F,天山龙湖湾,蟠龙湖旅游风景区南岸,114.179277,37.724429,0311,住宅区,0,0,小区
B2094750D564A7F8409B,清凉盛景,平山驼梁景区售票处西北150米,113.802223,38.720608,0311,住宅区,0,0,小区
B2094750D56AAAFA459B,驼梁中台山,平山县驼梁风景区中台山村东,113.81012,38.72034,0311,住宅区,0,0,小区
B2094750D56BA6F5439E,孔雀湖原乡国际假日基地,行唐县口头水库西侧,114.369907,38.617541,0311,住宅区,4,2,小区
B209475DD768A5FF479E,太行水乡度假小区,平山平山县拦道石红色生态风景区境内,113.754501,38.584673,0311,住宅区,1,1,小区
B2094750D56AAAFF409F,洪洲花园,平山县古月镇西洪子店,113.862305,38.307181,0311,住宅区,0,0,小区
B2094750D56BA4FB4393,西柏坡国御温泉度假小镇,平山温塘镇东部,114.004784,38.263524,0311,住宅区,1,0,小区
B2094750D56AABFA499E,天山龙湖世界,蟠龙湖旅游风景区南岸西侧,114.343506,37.82443,0311,住宅区,1,1,小区
B2094750D564A7F84693,麟凯江山墅,元氏县境内蟠龙湖风景区,114.38055,37.816293,0311,住宅区,0,0,小区
B2094750D56AA3FD499E,龙城山湖颂,元氏装院路168号,114.399736,37.819844,0311,住宅区,0,0,小区
B2094750D564A4FF479F,峰豪度假村,井陉县苍岩山景区,114.152412,37.830938,0311,住宅区,3,0,小区
B2094656D364A6FF4099,蕃茄花园,,114.38545,37.6617,0311,住宅区,0,0,小区
B2094750D564A7FD409E,上山间,石家庄市西部山前生态区，山前大道608号,114.309311,37.973974,0311,住宅区,16,15,小区
B209475DD768A7FF4492,龙凤湖田园度假村全茂山庄,鹿泉铜冶镇羊角庄村,114.375916,37.949071,0311,住宅区,7,1,小区
B2094753DA6FA2FB439F,梅迪雅逸墅,龙凤湖北岸,114.38069,37.929449,0311,住宅区,0,0,小区
B2094750D569AAFD479D,天下财富湾,鹿泉市龙凤湖景区龙凤湖北岸,114.381666,37.929034,0311,住宅区,3,2,小区
B2094750D569AAF44099,中堂,鹿泉市龙凤湖度假风景区龙凤湖南岸,114.382567,37.921339,0311,住宅区,0,0,小区
B2094750D564A7FE489C,山水龙庭,元氏姬村镇城郎村村北,114.418316,37.891383,0311,住宅区,1,1,小区
B2094753DA6EA3FB429B,翠堤湾水岸,蟠龙湖南案风景区,114.419174,37.899985,0311,住宅区,0,0,小区
B2094753DA6EA3F5449E,天籁山水清音,鹿泉市省城西南龙凤湖畔,114.379166,37.928196,0311,住宅区,0,0,小区
B2094753DA6EA2FF4999,中道佳馨,龙凤湖风景区,114.379692,37.929034,0311,住宅区,0,0,小区
B2094750D56AA3FC4598,茗仁嘉苑,鹿泉龙凤湖景区北岸,114.380207,37.929105,0311,住宅区,0,0,小区
B2094750D56AA3FC459D,水玲珑,庄院路259号，东郭村村北即到(封龙山前，龙凤湖畔),114.403338,37.914808,0311,住宅区,1,1,小区
B2094750D56BAAF9439A,奥冠水悦龙庭,山前大道凤凰山北侧,114.309483,37.94677,0311,住宅区,1,1,小区
B2094757D56FA5F5439C,河北工院学生公寓,中国河北省石家庄市区,114.470185,37.97657986,0311,住宅区,5917,1936,小区
B2094656D06CA3FD409C,宫家庄新世纪小区,,114.46612,37.97846,0311,住宅区,87,37,小区
B2094757D56FA1FF489D,河北工院学生公寓(北门),中国河北省石家庄市区,114.47012044,37.97723443,0311,住宅区,106,22,小区
B2094750D56AA4F94498,翡翠城,栾城107国道和南三环交叉口南行四公里窦妪镇,114.510498,37.902558,0311,住宅区,0,0,小区
B2094454D26CABFF439B,洨龙湾,裕翔街与南三环交叉口,114.51376,37.913597,0311,住宅区,0,0,小区
B209475DD768A1F54092,帝城阳光,石铜路沿线与红旗路交口,114.38068974,37.96710155,0311,住宅区,0,0,小区
B209475DD768A6FA469C,南国新大陆,裕翔街与衡井线交汇处,114.541569,37.906554,0311,住宅区,0,0,小区
B209475DD768ABF8429A,8090.0,石铜路与西南三环交汇处东南角,114.39994812,37.97206963,0311,住宅区,0,0,小区
B2094750D569ABF54599,铜城丽都,鹿泉市石铜路和获铜路交口西北角,114.381752,37.967749,0311,住宅区,0,0,小区
B2094750D569AAF5409C,四季阳光城,红旗大街南头,114.481943,37.939336,0311,住宅区,2,2,小区
B2094750D56AA3FD419A,十里洋房,胜利大街与南三环交叉口西南角,114.499061,37.952344,0311,住宅区,1,1,小区
B2094750D56BA1FC469A,俪城兰庭,桥西红旗大街南沿线，与西南高校区及环城水系相邻,114.461746,37.933367,0311,住宅区,0,0,小区
B2094750D564A3FD4693,四季花城,红旗大街与南二环交口南行500米路西,114.471303,37.946942,0311,住宅区,0,0,小区
B2094750D564A3F5439C,海兰嘉园,红旗大街与东营北街交口南行500米路东,114.471016,37.940542,0311,住宅区,1,0,小区
B2094750D564A5F9499B,都市新城,桥西红旗南大街西侧(寺家庄镇镇府西边),114.460613,37.936576,0311,住宅区,0,0,小区
B2094753DA6EA3F4489F,水语春天,位于良村开发区以东,114.439151,37.957954,0311,住宅区,0,0,小区
B2094753DA6EA3F4499A,城南春晓,胜利南大街,114.508352,37.95594,0311,住宅区,0,0,小区
B2094753DA6EA3F54593,岸溪,鹿泉开发区,114.521055,37.932622,0311,住宅区,1,1,小区
B2094750D564A3FE4199,城果,新胜利大街南延线新火车站出南二环南行2000米,114.504662,37.954485,0311,住宅区,7,4,小区
B2094750D564A7F54692,城市印象,鹿泉红旗大街南头西行1000米寺家庄镇中心,114.468613,37.938782,0311,住宅区,0,0,小区
B2094750D564A6FE4793,城市傲居,红旗大街与南三环交口南行1500米路西,114.460201,37.967343,0311,住宅区,0,0,小区
B2094750D564A6F84492,理想城,桥西红旗大街南延线寺家庄镇(南三环交口西南角),114.450964,37.938825,0311,住宅区,0,0,小区
B2094750D564A6FB4593,柠檬小镇,桥西红旗大街南三环交口南行1000米路西,114.464235,37.970185,0311,住宅区,3,2,小区
B2094750D564ABFF479F,天冠城,桥西红旗大街与南三环交叉口南头,114.465566,37.969517,0311,住宅区,0,0,小区
B2094750D56BA7FA4898,福城,栾城新开街与宏达路交口处,114.655037,37.894261,0311,住宅区,1,0,小区
B2094750D564A3F44498,沸点名邸,栾城县宏远路与华兴街交叉口南行20米路东,114.639244,37.90222,0311,住宅区,0,0,小区
B2094750D569A4FB489E,花溪里,栾城308国道与88米大道交口东南处,114.601822,37.925886,0311,住宅区,1,1,小区
B2094750D569AAFE4492,现代阳光园,其他区栾城宏达路与新开街交叉口路南,114.653622,37.88132,0311,住宅区,2,1,小区
B2094750D569AAFE469E,天山新伯爵,栾城县惠源路45号(体院馆东临),114.650433,37.882256,0311,住宅区,2,2,小区
B2094750D569AAFF4698,学府一品,其他区栾城县丰泽大街与宏达路交汇处,114.64178,37.894441,0311,住宅区,0,0,小区
B2094750D56AA6FB409B,尚城,栾城308国道与圣雪路交叉口,114.658127,37.894905,0311,住宅区,0,0,小区
B2094750D564A6FB4892,尚城丽都,栾城裕泰路和丰泽街北大街交叉口，县政府北侧,114.647141,37.902423,0311,住宅区,0,0,小区
B2094753DA6EA2FF4598,东坡家园,湘江大道太行大街交口,114.649168,37.893753,0311,住宅区,0,0,小区
B2094753DA6EA2F94098,栾城水榭花都,裕泰路与丰泽大街交叉口,114.646454,37.897225,0311,住宅区,1,1,小区
B2094750D56AAAF44299,华鼎孔雀城,栾城环城西路与裕泰路交口西南,114.620018,37.907231,0311,住宅区,0,0,小区
B2094750D56BA7FA4193,神农福地,南三环308国道与衡井线交口东行6公里,114.682846,37.915763,0311,住宅区,1,1,小区
